Number,Name,Time
1,Localizer,141203.093000
2,Localizer,141324.984000
3,ANAT_HIRES,141910.156000
4,ANAT_HIRES,142358.500000
5,MB1_1.5_TE19,142426.093000
6,MB1_1.5_TE19,142658.359000
7,MB1_1.5_TE19,143518.500000
8,MB1_1.5_TE19,144340.468000
9,MB1_1.5_TE19,145138.359000
10,MB1_1.5_TE19,150558.500000
11,MB1_1.5_TE19,151400.468000
12,MB1_1.5_TE19,152158.359000
13,MB1_1.5_TE19,153038.500000
14,ANAT_HIRES,154428.109000
